Points,WideArea,NarrowArea,ExactArea
55600,0.931472,0.785144,0.944517
56100,0.964068,0.785544,0.944517
56600,0.944902,0.787173,0.944517
57100,0.932542,0.783415,0.944517
57600,0.94352,0.787517,0.944517
58100,0.934731,0.785215,0.944517
58600,0.9533,0.786502,0.944517
59100,0.950006,0.786294,0.944517
59600,0.971235,0.784396,0.944517
60100,0.953287,0.788702,0.944517
60600,0.958256,0.785347,0.944517
61100,0.961553,0.785352,0.944517
61600,0.944752,0.786981,0.944517
62100,0.957028,0.783945,0.944517
62600,0.955751,0.783786,0.944517
63100,0.941707,0.779572,0.944517
63600,0.947297,0.78577,0.944517
64100,0.930959,0.784165,0.944517
64600,0.9379,0.783669,0.944517
65100,0.962208,0.78467,0.944517
65600,0.945685,0.783841,0.944517
66100,0.935296,0.786641,0.944517
66600,0.951339,0.786547,0.944517
67100,0.94425,0.786721,0.944517
67600,0.932951,0.783683,0.944517
68100,0.942233,0.785551,0.944517
68600,0.955916,0.78602,0.944517
69100,0.960817,0.783748,0.944517
69600,0.935476,0.786379,0.944517
70100,0.957513,0.78465,0.944517
70600,0.939715,0.784603,0.944517
71100,0.937072,0.784079,0.944517
71600,0.93433,0.784092,0.944517
72100,0.959538,0.78846,0.944517
72600,0.939539,0.784174,0.944517
73100,0.946013,0.789152,0.944517
73600,0.946323,0.785353,0.944517
74100,0.958568,0.783779,0.944517
74600,0.94641,0.786488,0.944517
75100,0.952277,0.783116,0.944517
75600,0.946236,0.786574,0.944517
76100,0.947301,0.783811,0.944517
76600,0.94061,0.783995,0.944517
77100,0.934132,0.784527,0.944517
77600,0.930744,0.78384,0.944517
78100,0.95379,0.787183,0.944517
78600,0.946115,0.784962,0.944517
79100,0.958694,0.784046,0.944517
79600,0.939969,0.783769,0.944517
80100,0.950366,0.78397,0.944517
80600,0.937113,0.78732,0.944517
81100,0.949676,0.783637,0.944517
81600,0.951602,0.78435,0.944517
82100,0.94924,0.788392,0.944517
82600,0.951851,0.787022,0.944517
83100,0.954314,0.785054,0.944517
83600,0.955816,0.784007,0.944517
84100,0.961,0.784828,0.944517
84600,0.944403,0.783983,0.944517
85100,0.943196,0.785958,0.944517
85600,0.940071,0.786379,0.944517
86100,0.936645,0.787073,0.944517
86600,0.932135,0.786247,0.944517
87100,0.937835,0.784156,0.944517
87600,0.946687,0.786313,0.944517
88100,0.92741,0.786913,0.944517
88600,0.953998,0.784673,0.944517
89100,0.947445,0.785802,0.944517
89600,0.953985,0.783739,0.944517
90100,0.956568,0.785427,0.944517
90600,0.942275,0.785386,0.944517
91100,0.941372,0.784676,0.944517
91600,0.940266,0.78345,0.944517
92100,0.96968,0.785874,0.944517
92600,0.945756,0.786922,0.944517
93100,0.931905,0.786294,0.944517
93600,0.955906,0.787083,0.944517
94100,0.93347,0.785739,0.944517
94600,0.939635,0.78556,0.944517
95100,0.929583,0.784816,0.944517
95600,0.939467,0.785167,0.944517
96100,0.945506,0.786452,0.944517
96600,0.955909,0.782774,0.944517
97100,0.95339,0.787374,0.944517
97600,0.933265,0.786445,0.944517
98100,0.929797,0.785882,0.944517
98600,0.957128,0.783793,0.944517
99100,0.953378,0.784844,0.944517
99600,0.952398,0.786245,0.944517
